laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,screen_width,screen_height,IPS Panel,CPU Brand,CPU GHz,MemoryAmount,MemoryType
1,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,Intel,macOS,1.37,1339.69,2560,1600,1,Intel,2.3,128,SSD
2,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel,macOS,1.34,898.94,1440,900,0,Intel,1.8,128,Flash
3,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel,No OS,1.86,575.0,1920,1080,0,Intel,2.5,256,SSD
4,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,AMD,macOS,1.83,2537.45,2880,1800,1,Intel,2.7,512,SSD
5,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,Intel,macOS,1.37,1803.6,2560,1600,1,Intel,3.1,256,SSD
6,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD,Windows 10,2.1,400.0,1366,768,0,AMD,3.0,500,HDD
7,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel,macOS,2.04,2139.97,2880,1800,1,Intel,2.2,256,Flash
8,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel,macOS,1.34,1158.7,1440,900,0,Intel,1.8,256,Flash
9,Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia,Windows 10,1.3,1495.0,1920,1080,0,Intel,1.8,512,SSD
10,Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.6,770.0,1920,1080,1,Intel,1.6,256,SSD
11,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel,No OS,1.86,393.9,1366,768,0,Intel,2.5,500,HDD
12,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel,No OS,1.86,344.99,1920,1080,0,Intel,2.0,500,HDD
13,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB SSD,AMD,macOS,1.83,2439.97,2880,1800,1,Intel,2.8,256,SSD
14,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD,Windows 10,2.2,498.9,1920,1080,0,Intel,2.0,256,SSD
15,Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB SSD,Intel,macOS,0.92,1262.4,2304,1440,1,Intel,1.2,256,SSD
16,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB SSD,Intel,macOS,1.37,1518.55,2560,1600,1,Intel,2.3,256,SSD
17,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD,Windows 10,2.2,745.0,1920,1080,0,Intel,2.7,256,SSD
18,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB SSD,AMD,macOS,1.83,2858.0,2880,1800,1,Intel,2.9,512,SSD
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia,No OS,2.2,499.0,1920,1080,0,Intel,2.4,1000,HDD
20,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel,Windows 10,1.22,979.0,1920,1080,1,Intel,1.6,128,SSD
21,Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel,Windows 10,0.98,191.9,1366,768,0,Intel,1.44,32,Flash
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia,Windows 10,2.5,999.0,1920,1080,1,Intel,2.5,128,SSD
23,HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD,No OS,1.86,258.0,1366,768,0,AMD,1.5,500,HDD
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel,Windows 10,1.62,819.0,1920,1080,0,Intel,1.6,256,SSD
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel,Windows 10,1.91,659.0,1920,1080,0,Intel,1.8,256,SSD
26,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel,Windows 10,2.3,418.64,1366,768,0,Intel,2.0,1000,HDD
27,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel,macOS,1.35,1099.0,1440,900,0,Intel,1.6,128,Flash
28,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD,Windows 10,2.2,800.0,1920,1080,0,Intel,1.6,256,SSD
29,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel,Windows 10,1.88,1298.0,1920,1080,0,Intel,1.9,256,SSD
30,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia,Windows 10,2.5,896.0,1920,1080,0,Intel,1.6,1000,HDD
31,Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel,Windows 10,1.89,244.99,1920,1080,0,Intel,1.44,64,Flash
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD,Windows 10,1.65,199.0,1366,768,0,AMD,1.5,32,Flash
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD,Windows 10,2.71,439.0,1920,1080,0,AMD,2.5,500,HDD
34,Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel,Windows 10,1.2,1869.0,3200,1800,0,Intel,1.8,512,SSD
35,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel,macOS,1.35,998.0,1440,900,0,Intel,1.6,256,Flash
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel,Windows 10,1.44,249.0,1366,768,0,Intel,1.1,64,Flash
37,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel,Linux,2.1,367.0,1366,768,0,Intel,2.7,1000,HDD
38,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD,Windows 10,2.8,979.0,1920,1080,1,Intel,1.6,128,SSD
39,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel,Windows 10,1.86,488.69,1366,768,0,Intel,2.5,1000,HDD
40,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia,Windows 10,2.1,879.0,1920,1080,0,Intel,1.6,256,SSD
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel,Linux,2.0,389.0,1920,1080,0,Intel,2.0,1000,HDD
42,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia,Windows 10,2.65,1499.0,1920,1080,1,Intel,2.8,256,SSD
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia,Linux,2.3,522.99,1366,768,0,Intel,2.5,1000,HDD
44,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel,Windows 10,2.2,682.0,1920,1080,1,Intel,1.6,256,SSD
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia,Windows 10,2.77,999.0,1920,1080,0,Intel,1.6,1000,HDD
46,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,Intel,macOS,1.37,1419.0,2560,1600,1,Intel,2.0,256,SSD
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel,No OS,2.2,369.0,1366,768,0,Intel,2.0,128,SSD
